accuracy,loss,val_accuracy,val_loss
0.36947935819625854,1.9470887184143066,0.3956834673881531,2.014871835708618
0.5935367941856384,1.24553382396698,0.5503597259521484,1.449670433998108
0.6412926316261292,1.0906388759613037,0.6438848972320557,1.1681177616119385
0.6757630109786987,0.9602547883987427,0.6438848972320557,1.0452464818954468
0.6897665858268738,0.920322060585022,0.6762589812278748,0.9869182705879211
0.7059245705604553,0.8531431555747986,0.730215847492218,0.8688063621520996
0.7174147367477417,0.8219181299209595,0.7338129281997681,0.8010610938072205
0.7357271313667297,0.791465699672699,0.7374100685119629,0.7887073159217834
0.7486534714698792,0.7452898025512695,0.7589927911758423,0.7603567838668823
0.7486534714698792,0.7428529262542725,0.7482014298439026,0.7259711623191833
0.7490125894546509,0.7345049381256104,0.7769784331321716,0.7033065557479858
0.7701975107192993,0.684824526309967,0.7589927911758423,0.7083214521408081
0.7615798711776733,0.6986806392669678,0.7805755138397217,0.6809109449386597
0.7701975107192993,0.6752551794052124,0.8201438784599304,0.6017854809761047
0.7691202759742737,0.6501136422157288,0.8021582961082458,0.6247991323471069
0.7759425640106201,0.6272389888763428,0.7589927911758423,0.6178197860717773
0.7906642556190491,0.6047317385673523,0.7769784331321716,0.6091688275337219
