Decade,Num Faces,Total Pages,Num Pages with Faces,Percentage of Pages with Faces
1880,1,34,1,2.941176470588235
1890,17,51,12,23.52941176470588
1900,25,68,17,25.0
1910,27,52,17,32.69230769230769
1920,46,64,29,45.3125
1930,31,54,19,35.18518518518518
1940,24,56,16,28.57142857142857
1950,105,94,47,50.0
1960,175,144,60,41.66666666666667
1970,202,200,82,41.0
1980,343,210,106,50.476190476190474
1990,210,201,96,47.76119402985074
2000,657,216,153,70.83333333333334
2010,699,188,146,77.6595744680851
